ddate,open,high,low,close,volume
20180412,2472000,2472000,2444000,2450000,249325
20180413,2480000,2509000,2470000,2490000,205566
20180416,2516000,2530000,2493000,2517000,157549
20180417,2512000,2527000,2491000,2499000,155440
20180418,2550000,2568000,2529000,2568000,269252
20180419,2600000,2649000,2577000,2639000,343811
20180420,2590000,2613000,2571000,2581000,235220
20180423,2550000,2604000,2550000,2595000,232380
20180424,2592000,2593000,2504000,2523000,315406
20180425,2461000,2525000,2461000,2520000,332292
20180426,2521000,2608000,2520000,2607000,360931
20180427,2669000,2682000,2622000,2650000,606216
20180430,0,0,0,2650000,0
20180502,0,0,0,2650000,0
20180503,0,0,0,2650000,0
20180504,53000,53900,51800,51900,39565391
20180508,52600,53200,51900,52600,23104720
20180509,52600,52800,50900,50900,16128305
20180510,51700,51700,50600,51600,13905263
20180511,52000,52200,51200,51300,10314997
20180514,51000,51100,49900,50100,14909272
20180515,50200,50400,49100,49200,18709146
20180516,49200,50200,49150,49850,15918683
20180517,50300,50500,49400,49400,10365440
20180518,49900,49900,49350,49500,6706570
20180521,49650,50200,49100,50000,9020998
20180523,50600,52000,50400,51800,17095490
20180524,52000,52000,51100,51400,8289275
20180525,51000,52800,50800,52700,15207266
20180528,52500,53000,52000,52300,9787820
20180529,52200,52500,51300,51300,8480437
20180530,51300,51500,49100,49500,20498098
20180531,50400,50800,49850,50700,63491109
20180601,50500,51700,49950,51300,13038499
20180604,50800,51200,50700,51100,9767171
20180605,51100,51400,50400,51300,9144100
20180607,51800,51800,50500,50600,13590016
20180608,50200,50400,49600,49650,16951706
20180611,49750,50300,49350,49900,10571312
20180612,49700,49800,49250,49400,12110569
20180614,49000,49000,48200,48200,20971729
20180615,48500,48700,47650,47650,17080892
20180618,47600,47650,46200,46600,16661870
20180619,47200,47350,46500,47000,15217971
20180620,47450,47600,46850,47000,12959316
20180621,47900,47900,47050,47050,10015541
20180622,47000,47250,46200,47250,10298006
20180625,47050,47050,46150,46650,10587711
20180626,45900,47300,45900,47000,11223166
20180627,47450,48500,47000,47950,15274752
20180628,46850,47150,46600,46800,12784800
20180629,46250,47150,46200,46650,14099635
20180702,46500,47150,45500,45550,13112253
20180703,45750,46450,45750,46150,10959655
20180704,46700,47050,46050,46250,8776763
20180705,46100,46550,45600,45950,7039773
20180706,45500,45850,44650,44900,17843706
20180709,45500,46100,45200,45600,11602464
20180710,46200,46550,46100,46300,10528665
20180711,46400,46450,45400,46000,11224077
20180712,45900,46250,45450,45500,11828104
20180713,45800,46500,45750,46500,11543389
20180716,46800,46800,46000,46050,7678719
20180717,46150,46200,45600,45850,8892953
20180718,46700,47200,46450,46550,10952645
20180719,47050,47200,46600,46900,9880128
20180720,47000,47600,46700,47450,10474547
20180723,47100,47200,46150,46500,10823782
20180724,46350,46600,45950,46150,8261363
20180725,46250,46550,45900,46150,7222471
20180726,46100,47000,46000,46900,7374946
20180727,46450,47000,46450,46900,4762460
20180730,46550,46800,46350,46500,5723035
20180731,46200,46450,46000,46250,8033607
20180801,46050,46850,46050,46550,7484499
20180802,46550,46800,45500,45550,8560924
20180803,45850,45900,45450,45750,8274944
20180806,46150,46150,45750,45800,6771979
20180807,46300,46750,45900,46700,9058174
20180808,47000,47000,46550,46800,6429338
20180809,47000,47050,46450,46900,12010886
20180810,46150,46400,44850,45400,16670643
20180813,44950,45100,44650,45050,9803831
20180814,44850,45400,44850,45150,6409259
20180816,43800,44650,43700,44250,10088229
20180817,44050,44400,44050,44100,6808747
20180820,43500,44200,43500,43850,7289124
20180821,43700,44900,43700,44800,9520270
20180822,45150,46200,44900,46100,11641656
20180823,46150,46200,45700,46200,6730918
20180824,45900,46400,45550,46150,6582535
20180827,46100,46550,46000,46300,5263782
20180828,46800,46950,46300,46550,7365976
20180829,46750,46800,46400,46800,5572374
20180830,46950,47950,46700,47650,12193231
20180831,47100,48450,47000,48450,13577454
20180903,48200,48300,47300,47450,8595084
20180904,47550,47800,47200,47650,6791255
20180905,47300,47450,46400,46600,9139998
20180906,46200,46400,45800,46100,9040553
20180907,44500,45200,44400,44900,18285508
20180910,45450,45550,45000,45500,9979838
20180911,45550,45900,45050,45050,9865790
20180912,44900,45100,44500,44550,12995269
20180913,44550,44750,44000,44050,18277942
20180914,45000,45850,44900,45850,12446344
20180917,45550,45800,44900,45150,8123384
20180918,44950,45900,44700,45500,9987090
20180919,46000,46200,45700,46150,9367454
20180920,46850,47600,46400,47250,13536966
20180921,46550,47550,46550,47400,14476906
20180927,46950,47500,46450,47500,15804586
20180928,47250,47250,46300,46450,11270515
20181001,46450,46800,45800,46350,6354983
20181002,46450,46700,45700,45700,6607188
20181004,45150,45600,44700,44700,11865327
20181005,44800,45500,44550,44700,10544165
20181008,44200,45200,44200,44950,6759464
20181010,45250,45500,44500,45300,10341349
20181011,44000,44650,43100,43100,19324537
20181012,43200,44650,43200,44000,12640906
20181015,44050,44050,43350,43800,7434522
20181016,43700,44150,43350,43600,6825677
20181017,44150,44500,44000,44150,8306193
20181018,43950,44450,43700,44050,8347725
20181019,43900,44150,43450,43900,7842520
20181022,43450,43950,43200,43550,8357648
20181023,43300,43450,42550,43050,9531231
20181024,43050,43100,42250,42550,13522825
20181025,40600,41550,40550,41000,19338170
20181026,41100,41300,40400,41000,14413864
20181029,40850,41950,40550,41400,14460521
20181030,41400,43000,41000,42350,14205190
20181031,42900,43350,41700,42400,17621480
20181101,42450,42950,42150,42150,13423132
20181102,43050,44250,42800,44150,16517112
20181105,43750,43800,42900,43800,9426777
20181106,43750,43800,42950,43750,7713625
20181107,43600,44500,43400,44000,11553998
20181108,44900,45050,44050,44050,12617397
20181109,44450,44850,43900,44300,7318500
20181112,43850,45250,43700,45200,8552566
20181113,43900,44500,43400,44500,9311126
20181114,44500,44500,43800,44100,6783344
20181115,44050,44350,43500,44250,5864067
20181116,44600,44750,43700,44000,7777124
20181119,44050,44250,43450,43650,7538720
20181120,42450,43000,42100,42800,9420664
20181121,41800,42300,41800,42100,10769589
20181122,42000,42650,42000,42450,5970796
20181123,42450,42600,41900,42400,5192638
20181126,42150,42800,42100,42600,6613009
20181127,42900,43100,42500,43050,8367091
20181128,42800,43200,42750,43150,6943099
20181129,43850,43850,42900,43150,8473511
20181130,43450,44000,41750,41850,19775519
20181203,42750,43400,42400,43250,12110702
20181204,42650,42900,41900,42150,14347746
20181205,40900,41750,40850,41450,12631983
20181206,40600,41100,40450,40500,14251826
20181207,40900,41400,40850,40950,11433083
20181210,40450,40650,40000,40200,14892263
20181211,40600,40700,40200,40250,10638766
20181212,40250,40700,40150,40450,12024279
20181213,40650,40750,40000,40000,26254646
20181214,40200,40200,38700,38950,19671783
20181217,38650,39600,38650,39150,11532968
20181218,38300,39200,38300,38900,11042101
20181219,38900,39350,38850,39100,9942037
20181220,38600,39100,38500,38650,11937617
20181221,38200,38650,38100,38650,14947080
20181224,38500,39050,38300,38800,9729530
20181226,38400,38750,38300,38350,12707675
20181227,38700,38800,38100,38250,10510643
20181228,38250,38900,38200,38700,9900267
20190102,39400,39400,38550,38750,7847664
20190103,38300,38550,37450,37600,12471493
20190104,37450,37600,36850,37450,14108958
20190107,38000,38900,37800,38750,12748997
20190108,38000,39200,37950,38100,12756554
20190109,38650,39600,38300,39600,17452708
20190110,40000,40150,39600,39800,14731699
20190111,40350,40550,39950,40500,11661063
20190114,40450,40700,39850,40050,11984996
20190115,40050,41100,39850,41100,11492756
20190116,41150,41450,40700,41450,8491595
20190117,41700,42100,41450,41950,11736903
20190118,42000,42400,41950,42300,11029256
20190121,42700,42750,41900,42750,11355701
20190122,42750,42850,41850,42150,9964356
20190123,41350,42250,41350,42000,11071079
20190124,43050,43100,42350,43050,14747623
20190125,44300,44750,43750,44750,22789395
20190128,45000,45500,44600,45050,17998914
20190129,45050,45500,44350,45500,16215017
20190130,44800,46400,44800,46400,17505980
20190131,46650,47050,46150,46150,21621145
20190201,46650,46950,46250,46350,13832454
20190207,46800,47100,46200,46200,15872001
20190208,45700,45700,44650,44800,12689196
20190211,44500,45000,44250,45000,11125044
20190212,44650,46250,44650,46050,13184367
20190213,46400,46700,46000,46200,11299738
20190214,46600,47500,46150,47500,17259341
20190215,46750,46850,45650,46050,10554643
20200102,55500,56000,55000,55200,12993228
20200103,56000,56600,54900,55500,15422255
20200106,54900,55600,54600,55500,10278951
20200107,55700,56400,55600,55800,10009778
20200108,56200,57400,55900,56800,23501171
20200109,58400,58600,57400,58600,24102579
20200110,58800,59700,58300,59500,16000170
20200113,59600,60000,59100,60000,11359139
20200114,60400,61000,59900,60000,16906295
20200115,59500,59600,58900,59000,14300928
20200116,59100,60700,59000,60700,14381774
20200117,61900,62000,61000,61300,16025661
20200120,62000,62800,61700,62400,12528855
20200121,62000,62400,61200,61400,11142693
20200122,60500,62600,60400,62300,15339565
20200123,61800,61800,60700,60800,14916555
20200128,59400,59400,58300,58800,23664541
20200129,59100,59700,58800,59100,16446102
20200130,58800,58800,56800,57200,20821939
20200131,57800,58400,56400,56400,19749457
20200203,55500,57400,55200,57200,23995260
20200204,57100,59000,56800,58900,21800192
20200205,60000,60200,58900,59500,19278165
20200206,60100,61100,59700,61100,14727159
20200207,61100,61200,59700,60400,16402493
20200210,59200,59800,59100,59700,13107121
20200211,59800,60700,59700,59900,11071231
20200212,60300,60700,59700,60500,12904207
20200213,61200,61600,60500,60700,18449775
20200214,60900,61900,60200,61800,13276067
20200217,61600,62000,61200,61500,8740596
20200218,60800,60900,59700,59800,16674266
20200219,59800,60400,59400,60200,12951496
20200220,60700,61300,59600,60000,14591924
20200221,58800,59800,58500,59200,13777393
20200224,57400,58100,56800,56800,25627537
20200225,56200,58000,56200,57900,23885408
20200226,56000,57000,56000,56500,25483102
20200227,56300,56900,55500,55900,23209541
20200228,55000,55500,54200,54200,30054227
20200302,54300,55500,53600,55000,30403412
20200303,56700,56900,55100,55400,30330295
20200304,54800,57600,54600,57400,24765728
20200305,57600,58000,56700,57800,21698990
20200306,56500,57200,56200,56500,18716656
20200309,54700,55000,53600,54200,30261485
20200310,53800,54900,53700,54600,32106554
20200311,54300,54400,52000,52100,45707281
20200312,51000,51900,49300,50800,48149999
20200313,47450,51600,46850,49950,59462933
20200316,50100,50900,48800,48900,33339821
20200317,46900,49650,46700,47300,51218151
20200318,47750,48350,45600,45600,40152623
20200319,46400,46650,42300,42950,56925513
20200320,44150,45500,43550,45400,49730008
20200323,42600,43550,42400,42500,41701626
20200324,43850,46950,43050,46950,49801908
20200325,48950,49600,47150,48650,52735922
20200326,49000,49300,47700,47800,42185129
20200327,49600,49700,46850,48300,39896178
20200330,47050,48350,46550,47850,26797395
20200331,48000,48500,47150,47750,30654261
20200401,47450,47900,45800,45800,27259532
20200402,46200,46850,45350,46800,21621076
20200403,47400,47600,46550,47000,22784682
20200406,47500,48800,47250,48700,23395726
20200407,49650,50200,49000,49600,31524034
20200408,49600,49750,48600,48600,25010314
20200409,49750,49800,48700,49100,22628058
20200410,48950,49250,48650,49250,17839111
20200413,48650,48900,48300,48300,14431800
20200414,48800,49200,48300,49000,14206216
20200416,49350,49350,48550,49000,23349760
20200417,50800,52000,50300,51400,32041675
20200420,51400,51400,50000,50100,21866354
20200421,49400,49700,48700,49250,27407543
20200422,48700,50000,48350,49850,18613864
20200423,50200,50300,49500,49850,18754442
20200424,49650,49750,49000,49350,15618347
20200427,49350,50000,49100,49850,14049471
20200428,49850,50100,49300,50100,16095399
20200429,49900,50500,49600,50000,15604533
20200504,48900,49100,48500,48500,26083749
20200506,49000,49200,48500,49200,18070225
20200507,49200,49300,48700,48800,13884411
20200508,49100,49350,48800,48800,15319700
20200511,48900,49250,48300,48400,16357743
20200512,48400,48500,47550,47900,23433590
20200513,47250,48550,47200,48550,20223277
20200514,47750,48100,47650,48000,19305974
20200515,48400,48450,47700,47850,18463118
20200518,47950,49100,47600,48800,20481981
20200519,50100,50500,49700,50300,25168295
20200520,50000,50200,49800,50000,14896899
20200521,50300,50400,49850,49950,14949266
20200522,49600,49800,48600,48750,19706284
20200525,48750,48900,48450,48850,14337913
20200526,48700,49450,48600,49250,15127490
20200527,48950,50000,48800,49900,19548479
20200528,51100,51200,49900,50400,31309318
20200529,50000,50700,49700,50700,27596961
20200601,50800,51200,50600,51200,16949183
20200602,51000,51500,50800,51400,14247933
20200603,51800,55000,51700,54500,49257814
20200604,55800,57000,54600,54600,40220334
20200605,54400,55900,54000,55500,22743629
20200608,56400,56500,54700,54900,25634965
20200609,55800,56500,54400,55500,23998831
20200610,55100,55900,54900,55400,16742493
20200611,54500,55100,53200,54300,33815123
20200612,52100,52800,51500,52300,26976019
20200615,51400,52000,49900,49900,28772921
20200616,51200,52100,50600,52100,21808375
20200617,52100,52900,51300,52200,26672595
20200618,52200,52300,51600,52300,15982926
20200619,52600,52900,51600,52900,18157985
20200622,52000,52600,51800,52000,13801350
20200623,52500,52800,51100,51400,18086152
20200624,51900,53900,51600,52900,24519552
20200625,52100,53000,51900,51900,18541624
20200626,52800,53900,52200,53300,21575360
20200629,52500,53200,52000,52400,17776925
20200630,53900,53900,52800,52800,21157172
20200701,53400,53600,52400,52600,16706143
20200702,52100,52900,52100,52900,14142583
20200703,53000,53600,52700,53600,11887868
20200706,54000,55000,53800,55000,19856623
20200707,55800,55900,53400,53400,30760032
20200708,53600,53900,52900,53000,19664652
20200709,53200,53600,52800,52800,17054850
20200710,53100,53200,52300,52700,13714746
20200713,53300,53800,53100,53400,12240188
20200714,53700,53800,53200,53800,14269484
20200715,54400,55000,54300,54700,24051450
20200716,54800,54800,53800,53800,16779127
20200717,54200,54700,54100,54400,10096174
20200720,54800,54800,54000,54200,10507530
20200721,55200,55400,54800,55300,18297260
20200722,55300,55500,54700,54700,12885057
20200723,54700,54700,53800,54100,16214932
20200724,54000,54400,53700,54200,10994535
20200727,54300,55700,54300,55600,21054421
20200728,57000,58800,56400,58600,48431566
20200729,60300,60400,58600,59000,36476611
20200730,59700,60100,59000,59000,19285354
20200731,59500,59600,57700,57900,21943345
20200803,57800,57900,56700,56800,21158940
20200804,57200,58100,57000,57300,19419694
20200805,57300,57500,56300,56900,17739706
20200806,57100,58400,57100,58000,21625874
20200807,57900,58400,57100,57500,18751717
20200810,57600,58300,57500,57800,17774291
20200811,58000,59500,57800,58200,24907912
20200812,58200,59000,57700,59000,18573934
20200813,59400,59600,58000,58700,22089460
20200814,58000,58400,57700,58000,15672548
20200818,58900,59900,58000,58400,25307825
20200819,59000,59200,57800,57800,16930719
20200820,57600,57600,55300,55400,30386029
20200821,56200,56900,55800,55900,21142288
20200824,55800,56600,55400,56100,15055896
20200825,56400,56800,56100,56400,14021705
20200826,56400,56500,55700,56400,17651593
20200827,56300,56300,55600,55600,16196568
20200828,56100,56300,55400,55400,14619888
20200831,56000,56100,54000,54000,32671367
20200901,54100,54800,54100,54200,19363117
20200902,54600,55100,54100,54400,16905723
20200903,55600,56700,55500,56400,28384920
20200904,55200,55800,55100,55600,22139109
20200907,56100,57300,55800,56500,18685880
20200908,57400,58700,57200,58700,31517520
20200909,58200,59300,57800,58400,30597399
20200910,59900,60000,59100,59200,29923293
20200911,59300,59400,58200,59000,16017098
20200914,60200,60800,59900,60400,20648281
20200915,60900,61000,60500,61000,17877075
20200916,61100,61300,60600,61000,17041444
20200917,60700,60800,59300,59500,25108356
20200918,59800,59900,59100,59300,18884571
20200921,59100,60000,59000,59200,15140387
20200922,59100,59700,57800,58200,20830381
20200923,58400,58800,57400,58600,20111398
20200924,57700,58600,57600,57800,17564020
20200925,57700,58200,57700,57900,11444683
20200928,58300,58800,57900,58200,12614080
20200929,58300,59000,58200,58200,15503563
20201005,57500,59200,57500,58700,20228289
20201006,59400,59900,58700,59000,14463826
20201007,58700,59900,58500,59900,14861838
20201008,60500,60700,59500,59700,24589924
20201012,60000,60400,59900,60400,16145837
20201013,61000,61400,60400,60900,19247631
20201014,61000,61100,60500,60900,16086716
20201015,60700,60800,59700,60000,17756232
20201016,60000,60400,59000,59500,16554190
20201019,59600,60200,59500,60000,14474985
20201020,60300,60900,60100,60900,19326115
20201021,61200,61500,60600,60900,15703443
20201022,60300,60500,59800,60100,14294095
20201023,60400,60400,59800,60200,9322232
20201026,60400,61100,60100,60400,13268226
20201027,60300,60300,59500,59800,17260416
20201028,59400,59400,58800,59000,14428882
20201029,58200,58500,57500,58100,22636966
20201030,58000,58000,56600,56600,26907844
20201102,56400,57500,56000,57400,20489076
20201103,57900,58900,57600,58800,14950919
20201104,58900,59000,57800,58500,21718561
20201105,59000,60300,58800,60300,20639475
20201106,60700,60800,59600,60100,16910230
20201109,60700,60900,60100,60200,15892961
20201110,60500,60500,59500,60200,19073552
20201111,60700,61400,60400,61300,25628510
20201112,61000,61400,60700,61000,19800573
20201113,61300,63200,61000,63200,31508829
20201116,64000,66700,63900,66300,36354334
20201117,67000,67000,65600,65700,30204089
20201118,65700,66200,64700,64800,22963790
20201119,64100,64800,63900,64600,16590290
20201120,63900,65200,63900,64700,15068682
20201123,64800,67800,64700,67500,27134398
20201124,67900,69500,67000,67700,32158235
20201125,67900,68300,66500,66600,32447065
20201126,66100,68000,66000,68000,19023323
20201127,68000,68400,67600,68200,14063434
20201130,68400,68600,66700,66700,43811016
20201201,67100,68300,67100,67800,22327173
20201202,68400,69900,68300,69500,29703942
20201203,70100,70500,69300,69700,23677989
20201204,70400,72100,70100,71500,28130533
20201207,72400,73500,71900,72900,28490496
20201208,72200,72900,71600,71700,25000338
20201209,72100,73900,72000,73900,24077996
20201210,72700,73800,72500,72900,39882928
20201211,73500,73800,73100,73400,18486672
20201214,73600,74500,73200,73800,21510415
20201215,73800,74100,73300,73800,20863671
20201216,74100,74500,73400,73800,17512081
20201217,73400,73700,72600,73300,24293214
20201218,73300,73700,73000,73000,17613029
20201221,73100,73400,72000,73000,20367355
20201222,72500,73200,72100,72300,16304910
20201223,72400,74000,72300,73900,19411326
20201224,74100,78800,74000,77800,32502870
20201228,79000,80100,78200,78700,40085044
20201229,78800,78900,77300,78300,30339449
20201230,77400,81300,77300,81000,29417421
20210104,81000,84400,80200,83000,38655276
20210105,81600,83900,81600,83900,35335669
20210106,83300,84500,82100,82200,42089013
20210107,82800,84200,82700,82900,32644642
20210108,83300,90000,83000,88800,59013307
20210111,90000,96800,89500,91000,90306177
20210112,90300,91400,87800,90600,48682416
20210113,89800,91200,89100,89700,36068848
20210114,88700,90000,88700,89700,26393970
20210115,89800,91800,88000,88000,33431809
20210118,86600,87300,84100,85000,43227951
20210119,84500,88000,83600,87000,39895044
20210120,89000,89000,86500,87200,25211127
20210121,87500,88600,86500,88100,25318011
20210122,89000,89700,86800,86800,30861661
20210125,87000,89900,86300,89400,27258534
20210126,88800,89200,86500,86700,33178936
20210127,86600,87700,85600,85600,26423070
20210128,83200,85600,83200,83700,31859808
20210129,84500,85000,82000,82000,39615978
20210201,81700,83400,81000,83000,28046832
20210202,84100,86400,83700,84400,26302077
20210203,84800,85400,83400,84600,22112205
20210204,83500,83800,82100,82500,24171688
20210205,83100,84000,82500,83500,18036835
20210208,83800,84200,83000,83000,15338765
20210209,84000,84800,82700,82700,20898332
20210210,82600,82600,81600,81600,23025766
20210215,83800,84500,83300,84200,23529706
20210216,84500,86000,84200,84900,20483100
20210217,83900,84200,83000,83200,18307735
20210218,83200,83600,82100,82100,21327683
20210219,82300,82800,81000,82600,25880879
20210222,83800,84200,82200,82200,25419886
20210223,81200,82900,81100,82000,20587314
20210224,81800,83600,81300,82000,26807651
20210225,84000,85400,83000,85300,34155986
20210226,82800,83400,82000,82500,38520800
20210302,85100,85300,83000,83600,33498180
20210303,83500,84000,82800,84000,19882132
20210304,82600,83200,82200,82400,24348331
20210305,81100,82600,81100,82100,20508971
20210308,82900,83000,81600,82000,17641256
20210309,81400,81900,80600,81400,25420764
20210310,82400,82500,80700,80900,20038422
20210311,81000,82500,81000,82000,23818297
20210312,83100,83500,82400,82800,13530573
20210315,82800,82900,81800,81800,13735798
20210316,82200,83000,82100,82800,12293537
20210317,82800,82900,82000,82300,11625146
20210318,82800,83800,82600,82900,18585244
20210319,82100,82500,81800,81900,15869700
20210322,82000,82300,81700,82000,12670506
20210323,82600,82900,81800,81800,13299907
20210324,81000,81600,80700,81000,17926638
20210325,81000,82100,80800,81200,14758826
20210326,81400,81600,81000,81500,12845778
20210329,81700,81700,81000,81600,14952134
20210330,81600,82300,81300,82200,13121698
20210331,82400,82700,81400,81400,17240518
20210401,82500,83000,82000,82900,18676461
20210402,84000,85200,83900,84800,22997538
20210405,85800,86000,84800,85400,16255990
20210406,86200,86200,85100,86000,19042023
20210407,86100,86200,85400,85600,17885538
20210408,85700,85700,84100,84700,19244259
20210409,84700,84900,83400,83600,18193707
20210412,84100,84100,83100,83200,12915282
20210413,83000,84500,82800,84000,15238206
20210414,84000,84300,83400,84000,13794652
20210415,83700,84500,83400,84100,16377412
20210416,84700,84700,83600,83900,15429522
20210419,83800,84000,83300,83300,15287311
20210420,83300,84000,83100,83900,15521965
20210421,83300,83500,82500,82600,21636079
20210422,82900,83000,82400,82400,13934746
20210423,81900,82900,81600,82800,17805080
20210426,82900,83500,82600,83500,15489938
20210427,83200,83300,82500,82900,12941533
20210428,83200,83200,82100,82100,15596759
20210429,82400,82500,81500,81700,20000973
20210430,81900,82100,81500,81500,18673197
20210503,81000,82400,81000,81700,15710336
20210504,81900,82600,81800,82600,12532550
20210506,81700,82300,81700,82300,17047511
20210507,81800,82100,81500,81900,14154882
20210510,82300,83500,81800,83200,19385027
20210511,82500,82600,81100,81200,28996680
20210512,80800,81200,79800,80000,35812268
20210513,78900,79600,78400,78500,31490096
20210514,79000,80300,78900,80100,16450920
20210517,80800,80900,79200,79600,17740855
20210518,79600,80000,79100,79600,17494407
20210520,79400,79700,79100,79500,16541828
20210521,80100,81500,79800,80100,20961714
20210524,80100,80400,79500,79700,13398666
20210525,80000,80400,79800,79900,13628942
20210526,80400,80500,79700,79800,11984359
20210527,80000,80000,79100,79600,23198510
20210528,79800,80400,79400,80100,12360199
20210531,80300,80600,79600,80500,13321324
20210601,80500,81300,80100,80600,14058401
20210602,80400,81400,80300,80800,16414644
20210603,81300,83000,81100,82800,29546007
20210604,82700,82700,81500,82200,18112259
20210607,82700,82800,81600,81900,16496197
20210608,82300,82600,81800,81900,12781226
20210609,81500,82000,81100,81100,14908823
20210610,81300,81400,80900,81000,17586995
20210611,81200,81700,80700,81000,14087962
20210614,80800,80900,80500,80500,10550078
20210615,80900,81200,80600,80900,10075685
20210616,81500,81900,81100,81800,14999855
20210617,81100,81300,80700,80900,14007385
20210618,81100,81100,80500,80500,14916721
20210621,79700,80000,79600,79900,16063340
20210622,80200,80300,79900,80000,11773365
20210623,80500,80600,79900,80100,13856548
20210624,80400,81400,80100,81200,18771080
20210625,81500,81900,81200,81600,13481405
20210628,81700,82000,81600,81900,11578529
20210629,81900,82100,80800,81000,15744317
20210630,81100,81400,80700,80700,13288643
20210701,80500,80600,80000,80100,13382882
20210702,80000,80400,79900,80000,8753097
20210705,80100,80800,80000,80400,8330969
20210706,80600,81200,80500,81200,12131651
20210707,81200,81300,80300,80800,15992202
20210708,81100,81200,79900,79900,16660998
20210709,79600,79800,79000,79400,22720577
20210712,79900,80000,79500,79700,9768108
20210713,80000,80200,79800,79800,9863450
20210714,79400,79600,79100,79500,11575636
20210715,79800,80600,79500,80600,13766279
20210716,80100,80100,79500,79800,10859399
20210719,79100,79200,78800,79000,13155414
20210720,78500,79000,78400,79000,12456646
20210721,79000,79100,78500,78500,12355296
20210722,79000,79800,78900,79700,12618790
20210723,79700,79900,79200,79300,9098910
20210726,79400,79500,78800,78800,10040975
20210727,79200,79400,78500,78500,11427693
20210728,78300,79200,78100,79200,12743417
20210729,78800,79400,78800,79000,14360453
20210730,78900,78900,78500,78500,13823411
20210802,79200,79500,78700,79300,11739124
20210803,79400,81400,79300,81400,24339360
20210804,82200,83100,81800,82900,25642368
20210805,83300,83300,82000,82100,18485469
20210806,81900,82500,81300,81500,13342623
20210809,81500,82300,80900,81500,15522581
20210810,82300,82400,80100,80200,20362639
20210811,79600,79800,78500,78500,30241137
20210812,77100,78200,76900,77000,42365223
20210813,75800,76000,74100,74400,61270643
20210817,74000,75100,74000,74200,30944847
20210818,73900,74600,73100,73900,29192631
20210819,73500,74400,73100,73100,22166298
20210820,73500,73900,72500,72700,22364803
20210823,73300,74000,73000,73300,19384648
20210824,73900,75700,73900,75600,21016913
20210825,76200,76600,74900,75700,22319664
20210826,76100,76200,74600,74600,16671494
20210827,74300,75000,73800,74300,15172748
20210830,75400,75500,74200,74600,12686999
20210831,74900,76700,74300,76700,24630370
20210901,76700,77100,75900,76800,16114775
20210902,76800,76800,75700,76000,15347486
