,종목코드,종목명,BPS,PER,PBR,EPS,DIV,DPS,시가,고가,저가,종가,거래량,거래대금,등락률
230,001515,SK증권우,0.0,0.0,0.0,0.0,0.39,15.0,4000.0,4000.0,3970.0,3970.0,5972.0,23764005.0,-0.38
231,285130,SK케미칼,48163.0,11.34,3.05,12958.0,1.36,2000.0,144000.0,149000.0,142000.0,145500.0,139740.0,20372582500.0,1.04
232,28513K,SK케미칼우,0.0,0.0,0.0,0.0,2.48,2050.0,82200.0,84200.0,81700.0,82600.0,21840.0,1809444100.0,0.36
233,017670,SK텔레콤,58812.0,13.76,0.96,4093.0,3.55,2000.0,0.0,0.0,0.0,309500.0,0.0,0.0,0.0
234,000660,SK하이닉스,71275.0,18.48,1.8,6952.0,0.91,1170.0,110000.0,112500.0,110000.0,111500.0,2324668.0,258662968500.0,1.36
235,048550,SM C&C,1092.0,0.0,3.53,0.0,0.0,0.0,4310.0,4375.0,4190.0,4200.0,1309294.0,5551706200.0,-3.34
236,063440,SM Life Design,1023.0,0.0,2.68,0.0,0.0,0.0,3325.0,3380.0,3230.0,3240.0,963595.0,3187155425.0,-2.56
237,950180,SNK,,,,,,,23750.0,24350.0,22000.0,22350.0,500661.0,11569902900.0,-4.08
238,064960,SNT모티브,52022.0,11.64,0.88,3952.0,3.48,1600.0,45800.0,46650.0,45450.0,46300.0,76537.0,3526664150.0,1.09
239,100840,SNT에너지,31408.0,13.76,0.62,1414.0,4.11,800.0,20350.0,21400.0,20350.0,21150.0,41020.0,863336400.0,2.92
240,003570,SNT중공업,17967.0,27.81,0.51,329.0,3.28,300.0,9100.0,9250.0,9080.0,9110.0,8307.0,75866700.0,-0.11
241,036530,SNT홀딩스,52339.0,6.73,0.33,2533.0,3.81,650.0,17650.0,17800.0,17550.0,17600.0,2614.0,46069850.0,-0.28
242,005610,SPC삼립,35114.0,0.0,1.97,0.0,1.59,1104.0,72100.0,72800.0,72000.0,72200.0,4370.0,315589300.0,0.0
243,011810,STX,1314.0,0.0,3.21,0.0,0.0,0.0,4045.0,4070.0,4005.0,4010.0,86803.0,348635090.0,-0.37
244,077970,STX엔진,9635.0,16.62,1.23,713.0,0.0,0.0,10300.0,10550.0,10250.0,10550.0,26091.0,271085900.0,2.43
245,071970,STX중공업,6131.0,129.8,0.83,39.0,0.0,0.0,5000.0,5070.0,4935.0,5000.0,140621.0,697609595.0,0.0
246,002820,SUN&L,16384.0,0.0,0.31,0.0,0.0,0.0,5140.0,5140.0,5050.0,5140.0,6680.0,34022780.0,0.0
247,289080,SV인베스트먼트,1137.0,20.94,3.07,167.0,1.43,50.0,3260.0,3290.0,3215.0,3235.0,256704.0,830737330.0,-0.77
248,084870,TBH글로벌,3744.0,0.0,0.59,0.0,0.0,0.0,2620.0,2675.0,2560.0,2600.0,54342.0,141749455.0,-1.33
249,002710,TCC스틸,4991.0,0.0,2.59,0.0,0.12,15.0,7380.0,7610.0,7380.0,7480.0,275138.0,2065195850.0,2.19
250,089230,THE E&M,518.0,0.0,1.14,0.0,0.0,0.0,690.0,698.0,677.0,679.0,1292034.0,883513637.0,-1.88
251,161570,THE MIDONG,1296.0,0.0,1.18,0.0,0.0,0.0,1460.0,1625.0,1435.0,1440.0,1127804.0,1711954625.0,-2.04
252,192410,THQ,1177.0,0.0,2.43,0.0,0.0,0.0,2975.0,2990.0,2830.0,2940.0,71775.0,208951405.0,-0.51
253,032540,TJ미디어,5509.0,0.0,0.91,0.0,0.0,0.0,5270.0,5380.0,5210.0,5330.0,81964.0,435064730.0,1.14
254,048770,TPC,2342.0,17.38,2.24,302.0,0.67,35.0,3330.0,3405.0,3305.0,3400.0,50845.0,170868160.0,2.26
255,246690,TS인베스트먼트,1181.0,12.35,2.31,221.0,0.92,25.0,2870.0,2870.0,2770.0,2825.0,201512.0,566073660.0,-1.57
256,317240,TS트릴리온,409.0,0.0,3.86,0.0,0.63,10.0,965.0,973.0,928.0,960.0,147176.0,139278256.0,-0.52
257,002900,TYM,934.0,59.3,1.84,29.0,0.0,0.0,1760.0,1790.0,1755.0,1760.0,949906.0,1676040570.0,-1.12
258,038340,UCI,2109.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0
259,073570,WI,518.0,0.0,2.54,0.0,0.0,0.0,1200.0,1260.0,1190.0,1215.0,1507839.0,1850865170.0,2.1
260,024070,WISCOM,7616.0,0.0,0.46,0.0,1.42,50.0,3605.0,3690.0,3550.0,3650.0,51854.0,187930145.0,2.82
261,057030,YBM넷,2479.0,0.0,2.57,0.0,0.0,0.0,6180.0,6340.0,6080.0,6340.0,130097.0,810215740.0,2.59
262,037270,YG PLUS,1487.0,0.0,4.54,0.0,0.0,0.0,9400.0,9530.0,9100.0,9160.0,3142551.0,29127448390.0,-3.98
263,040300,YTN,4521.0,18.23,0.75,186.0,0.88,30.0,3315.0,3315.0,3195.0,3195.0,43616.0,140896535.0,-3.62
264,051390,YW,6396.0,11.54,0.67,374.0,2.32,100.0,4025.0,4115.0,3990.0,4055.0,14574.0,58979005.0,-0.25
265,052220,iMBC,2341.0,103.06,2.07,47.0,0.0,0.0,5050.0,5220.0,4970.0,5120.0,635163.0,3228809385.0,1.39
266,079940,가비아,6528.0,13.74,1.97,935.0,0.47,60.0,14300.0,14800.0,14200.0,14250.0,188084.0,2718983450.0,0.35
267,078890,가온미디어,10188.0,87.1,1.66,194.0,0.3,50.0,18300.0,19050.0,18150.0,18300.0,1151826.0,21414363700.0,0.27
268,000500,가온전선,63351.0,10.17,0.39,2418.0,2.44,600.0,25150.0,25200.0,24800.0,25100.0,4747.0,118639600.0,0.4
269,036620,감성코퍼레이션,342.0,0.0,6.86,0.0,0.0,0.0,2390.0,2435.0,2300.0,2340.0,609393.0,1442694885.0,-2.09
270,000860,강남제비스코,84026.0,7.41,0.32,3583.0,1.88,500.0,22700.0,22750.0,22300.0,22450.0,6506.0,146205300.0,0.67
271,217730,강스템바이오텍,1800.0,0.0,1.96,0.0,0.0,0.0,3325.0,3345.0,3285.0,3310.0,124313.0,410941205.0,-0.6
272,035250,강원랜드,15177.0,0.0,1.67,0.0,0.0,0.0,25050.0,25450.0,25000.0,25200.0,642542.0,16158971900.0,0.4
273,114190,강원에너지,942.0,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0
